"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5839777179.55234","5156523338.13202","3001096441.20728","2736999990.59546","2884798066.15368","3083849087.13088","3264729194.59891","3373153453.15604","3619393654.82187","3738833645.45205","3959424830.6504","4339529614.36417","4912347523.37066","5600076176.7187","6188084175.20809","7048227875.50714","7978593955.03646","9071661326.99986","9697605958.60182","8330243518.3711","8513508875.79318","8913643792.84258","9555426146.01325","9870755208.83169","10226102396.4079","10553337672.9872","10574444348.3148","11367527674.612","11958639113.6524","12867495686.1153","11915301005.3428","",
"American Samoa","ASM","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","744923664.122138","752116030.534351","755198473.282443","752116030.534351","721291603.053435","734648854.961832","715126717.557252","685329770.992367","687384732.824428","687384732.824428","657587786.259542","641148091.603054","652450381.679389","673000000","661697709.923664","615461068.70229","631900763.358779","628818320.610687","653477862.59542","",
"Antigua and Barbuda","ATG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","346269196.833577","361448350.027329","390652456.233093","422535286.105259","438654653.040003","438286129.335493","461795868.634098","508737398.337917","547624235.019779","610567225.77537","651025662.211974","684965406.632283","720941671.087821","742654377.271652","758818833.53906","767609561.473437","808138415.274982","862095450.251678","824511645.778324","878966185.317249","927059773.66768","970920131.234148","1006918139.9154","1069381614.5052","1020746101.54234","1031233675.39432","1093897040.21001","1156982395.5026","1231883484.14811","1388433067.06436","1517770927.22872","1517553268.98274","1336012965.82455","1231261603.44532","1207145958.1923","1247861376.20468","1240363271.73109","1287444082.93699","1336692592.59259","1410163355.6217","1454503449.73032","1554626242.87881","1630215842.3024","1301036618.29788","",
"Australia","AUS","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","205048666020.255","210140579058.534","212860782121.407","226089971117.828","241867751030.378","256333601242.157","262439380778.966","278982641188.18","293197094658.674","313848509001.801","336369592522.62","349823081605.576","363497860035.65","373018570755.707","388332696798.105","393519448128.006","403716822531.938","418221812356.132","421961150711.515","439053871064.253","452380909091.713","467485036059.805","483018946079.612","472286412744.384","493992338568.166","519937385490.482","540895895254.1","554677554933.462","586536446754.782","609202798452.45","630972702488.834","628479810251.912","631080336422.977","656535385505.246","682668603641.098","708840961389.366","736162668909.91","764934047459.534","800228192955.163","839732857524.87","872586798723.367","890372741826.771","926116992865.178","954922242233.238","995080989941.195","1026528915832.15","1054521265557.74","1094260767801.94","1133402638271.95","1154561362206.77","1179642326916.53","1208776499565.85","1256128656424.85","1288790662985.54","1321821485124.76","1350534154255.76","1387560980285.63","1419418366737.24","1460169477425.41","1491025040336.15","1490967836287.24","",
"Austria","AUT","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","84930957865.7421","89634416745.9454","92008541234.9355","95816100869.1366","101684217823.965","105223006468.235","111160594895.654","114504358722.384","119625351794","127132879969.536","135169130645.024","142082989214.129","150903303811.962","158283132276.333","164522871893.839","163924443911.638","171429635128.008","180138227325.32","179758759493.059","189387896783.516","192667120935.942","192389112509.963","196258547592.121","202093486979.047","202197109935.467","207249365643.959","212018988476.745","214896442478.295","221979171128.378","230607667590.116","240629049863.283","248910606082.174","254121610895.057","255460346929.86","261596808649.455","268576168421.57","274886456416.226","280641477589.641","290692443914.523","301030430129.082","311192381028.414","315135711888.113","320340348097.004","323356259321.687","332200441760.824","339655236682.676","351387070656.34","364484726093.492","369807747327.812","355886045571.664","362424005611.476","373016924602.914","375555101767.152","375650886015","378134963330.691","381971148530.543","389570224508.691","398368950204.699","408334528417.519","414423657207.687","386514237678.398","",
"Azerbaijan","AZE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20239380746.3161","20097705044.1091","15555623694.9696","11962274728.8363","9605706520.83796","8472233177.12798","8582372163.10554","9080149749.62383","9988164830.40362","10727288986.5847","11918018010.8342","13097901809.4266","14334201803.8263","15797480128.1536","17259347553.7711","22085326590.3978","29704764264.085","37130955330.1062","41125866703.2749","44949076753.5509","47218530722.19","47265749252.9122","48289165892.6824","51094670309.1116","52500032807.7481","53074370486.0433","51429065000.976","51531923130.9779","52304901977.9426","53612524527.3911","51307185972.7133","",
"Burundi","BDI","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","798636603.011911","688854936.96542","751286947.842861","782355724.027755","831433195.132744","864418025.76897","904293567.888834","1029280671.59157","1026214612.51905","1011236588.03174","1226889573.12518","1260590128.17657","1179862378.54644","1261143696.2057","1251977204.88654","1260715007.15168","1360849326.04288","1516931300.49667","1502663408.91201","1527682077.72451","1542822258.41762","1730479981.26805","1712247647.29676","1775863246.29692","1778625495.1103","1988204141.98254","2052824364.47636","2165793262.40454","2274754849.20289","2305452716.6181","2386139461.22238","2505370947.52141","2530675153.27879","2372761023.67901","2281884276.56231","2101159041.77306","1933066318.47448","1902330564.07146","1992691265.77157","1972565084.05706","1955662882.82275","1995867539.38323","2084614176.96466","2059104170.41813","2158634219.10471","2178061927.09612","2295977999.32591","2375234069.03261","2490711132.43028","2585675644.82962","2718169887.36642","2827782874.09675","2953526127.66363","3098963521.28296","3230379768.78531","3104394858.11518","3085767868.07056","3101197015.95003","3151124212.65852","3209182941.33059","3218732735.47832","",
"Belgium","BEL","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","107409842457.407","112757158826.444","118634065901.415","123796527265.888","132408661378.724","137123283408.933","141450750228.824","146922273105.169","153084383687.119","163233571843.436","172346670831.88","179216111161.922","188706688044.546","200749386449.419","209914113819.734","205787325003.57","217419959648.709","218781345279.661","224998884653.738","230266272692.697","240499429910.323","239827755215.623","241254698634.742","242007033807.079","247975853676.465","252071901218.968","256666571621.109","262586995647.719","274989527944.74","284529373856.785","293456205020.658","298835475229.994","303409615205.607","300491199097.648","310187964527.328","317585194591.875","321781927100.664","333989231728.476","340541460104.062","352605970422.851","365711203833.047","369732633305.117","376043542626.992","379946808976.211","393515485920.82","402651880769.961","412928965821.953","428111873071.133","430025228051.015","421335523091.64","433403805754.258","440747893479.883","444005978083.203","446045040873.594","453086009677.5","462335574841.484","468191916732.07","475774660680.469","484429970740.234","494843082072.617","466836646736.172","",
"Benin","BEN","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1651120625.57515","1702986955.13621","1644635642.82313","1722427368.82308","1836981864.11691","1934229164.29541","2003394544.14855","2024999124.18289","2102806387.15614","2163314598.38706","2208695694.30502","2175635013.29465","2315449315.67552","2401263695.18242","2481449385.76606","2359973866.29356","2380844444.63745","2499497725.57111","2530868372.43581","2696279536.50696","2879134847.99149","3165730586.35962","3236486765.25439","3095770057.87675","3341259656.74457","3592867362.52965","3670873600.39357","3615810388.11729","3738937601.22939","3632222321.23508","3958255477.06654","4125523414.03257","4247544466.72825","4495438471.19399","4586264330.18832","4863513119.58136","5073825240.77247","5364793307.03368","5577293421.1214","5875201725.54095","6219354251.61579","6551040853.89379","6855207703.09519","7091272043.49982","7405393025.88227","7532259594.99787","7829312241.28345","8298002221.53926","8704320296.77356","8906198913.18118","9094481722.87524","9364019690.4087","9814543589.03926","10520349986.3078","11189200078.4152","11388160958.249","11768488343.5155","12435944687.8335","13268812169.9892","14179807326.7156","14725558673.4836","",
"Burkina Faso","BFA","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1166782782.04356","1213966637.39199","1288368209.87141","1272031490.03047","1301069669.40977","1350049027.54765","1357307067.74807","1477066545.51497","1522423920.0375","1553269462.43977","1555087092.32094","1577065758.39551","1613519613.54947","1620769599.35777","1755073480.65671","1807697303.6151","1961982369.84559","1969248641.35979","2059988172.67194","2135478942.38886","2152496122.90425","2244091363.48858","2458675792.05988","2467182435.09893","2423298742.87483","2629699941.73324","2838902110.75703","2832192740.53431","2996335103.75436","3060764316.96266","3042310097.1897","3318247150.21709","3325969068.44029","3441093660.86632","3486344292.74658","3685636766.66074","4091600216.47068","4350059840.1554","4667950017.22733","5013156021.43868","5107828163.92166","5445629565.17945","5682675850.46101","6126066286.40807","6400419232.9076","6954815432.94898","7389711495.72987","7693530543.6276","8139754679.75346","8380850213.3838","9088720420.95919","9690626621.56382","10315931008.977","10913490065.2338","11385699931.5135","11832159275.603","12537116569.2425","13314855268.0876","14194244080.5891","15001629028.4851","15291209207.4632","",
"Bangladesh","BGD","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","22247412282.0175","23595196297.5699","24881849659.0784","24768414727.2515","27481246818.534","27922666606.9654","28639388964.5105","28102153000.1177","30768893886.4236","31144538360.9776","32894815414.1393","31092349586.6864","26747589008.3517","27637128279.6546","30288069546.9297","29049828419.5729","30694444134.7328","31514923830.6962","33744238404.0343","35364513430.9367","35654198967.1819","38233403645.338","39049429821.9031","40564956312.1552","42513416921.3805","43934221544.8747","45767764684.2626","47494308687.072","48641893176.7727","50021660425.8709","52834007311.7358","54675392830.5312","57651202535.9186","60367474528.3118","62715845616.4941","65927698356.0697","68909554894.7531","72003522586.3165","75731164300.4426","79267928092.7913","83463813143.96","87701511126.0793","91063218744.844","95379221373.1044","100376647066.682","106937209452.104","114071958456.596","122123840982.243","129468112024.815","135999939845.133","143577568429.643","152858966788.201","162827601299.735","172619411144.635","183081976119.336","195078678697.23","208955558005.097","224176245316.101","241804912832.722","261518503633.701","270695543283.145","",
"Bulgaria","BGR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","30380970883.0615","31869687630.9196","32613706392.6898","33732456291.4167","34878160151.935","35814094910.805","37321009486.1088","39580615170.2135","43912591617.6909","42467919140.4864","38595958807.3975","35336393002.2551","32766593398.4402","32281577447.0812","32868460139.8572","33806871457.7194","35566651552.9359","30546283155.747","31703719111.3126","29041845953.2986","30374060870.5509","31535474948.9912","33387216050.7821","35135756064.3845","37423243595.5566","40063957719.338","42789344253.0039","45609752890.501","48399253570.6189","46815700521.4237","47537505667.6491","48536366470.1882","48902782248.9232","48628685105.4183","49098860802.5391","50781996712.7635","52325680684.652","53771005440.9431","55214529018.3632","57443866470.1882","54923717977.7828","",
"Bahrain","BHR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7719989594.2972","7309541111.89847","6757216271.72362","7188081842.37558","7547748015.19352","7188605896.05476","7273646666.44917","8030033862.1097","8592135561.90565","8623411548.67152","9006118309.71319","10017505286.0204","10687676226.0298","12063180869.1514","12033022737.8954","12505919514.1411","13019913570.9245","13422619469.9058","14065563316.8115","14670382393.2056","15447922937.5299","15832722681.7137","16362889422.8255","17393169261.3715","18607379553.6075","19866912679.454","21151705946.6711","22906020071.8799","24336503493.4839","24954622922.9927","26036230937.9271","26552663487.0358","27542575573.0076","29034512771.3789","30297627559.0615","31050638297.8723","32155459790.271","33535234420.6161","34251782226.1479","34985241938.6953","33206179338.0924","",
"Bahamas, The","BHS","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","2201671025.03956","2436525418.35062","2691190370.18633","2974412730.38912","3286772682.13085","3629438339.45034","3958698398.23268","4338658778.13687","4704050362.27161","5126552293.31636","4836920056.31953","4915592983.81836","4743678184.05711","5102659295.42125","4247748068.15147","3618948556.18618","3806597732.8554","4155089060.95536","4744260751.13516","5984377100.94707","6373079264.89301","5785073155.85173","6172609291.67674","6394641249.50525","7300835364.97493","7653405854.57434","7790937575.18802","8023459614.26896","8208778075.64358","8761009649.28617","8621162112.79165","8260643667.57906","7944625972.86074","7969080031.43684","8220019637.31531","8579953919.02168","8942330883.26863","9557182252.88383","9126765315.75566","10240004184.0069","10664885923.8984","10944856200.1322","11240878548.3526","11098734683.3133","11196707674.4034","11576865020.6221","11868237803.1636","12039939621.447","11760190753.1026","11269108054.2599","11442470431.7143","11512656732.676","11868038536.0631","11442702909.9982","11704528809.6901","11890600000","11901437916.1895","12094837707.6409","12429506802.9681","12516819004.1803","10700067637.535","",
"Bosnia and Herzegovina","BIH","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2437270537.6915","2944222749.61984","5563334594.91882","7476541665.18156","8642881917.13416","9472598556.66979","10681820232.2898","10940674188.968","11490710479.7252","11935072202.5232","12689997286.7491","13184549067.93","13898361025.2609","14712405590.0014","15513324091.4317","15047233105.8059","15177492377.319","15323122123.7286","15197191117.127","15554303325.219","15733776823.9907","16219819017.3607","16730711998.4693","17261315633.603","17906901109.7165","18413845946.1771","17825164473.5196","",
"Belarus","BLR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29452556633.5457","29099127258.7491","26305610635.692","24306383742.7746","21462535897.5156","19230432058.6858","19768885050.6478","22022539015","23872430402.7966","24684092836.7343","26115771070.4161","27349821166.1531","28729692799.2932","30753180384.6838","34274340535.4692","37496129067.9992","41245740029.6776","44792876368.1538","49361749506.6609","49460470690.6153","53317530166.8315","56185324133.9697","57133246703.6914","57706562174.7975","58702799524.0454","56454734396.5842","55028435771.7374","56421856742.7841","58198692497.6768","59013474192.6442","58482352924.7647","",
"Belize","BLZ","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","110027507.628303","115410358.318665","121056985.731217","127057095.567334","133409797.763359","139987622.488494","146666215.134734","153872106.921451","165208211.954016","173644362.441885","181992650.931668","189198542.718385","208531424.672406","219691805.708795","249481981.986577","258445431.614924","258357506.040861","275141945.018513","296935407.950815","319256106.447618","362153533.481736","366259524.578124","365865024.87455","358023878.945882","365084342.644923","368780872.413167","385521521.383659","426908429.201001","468692994.374546","529666302.436085","590278076.390006","657947770.049626","737285247.043466","783555651.256318","784796972.177201","789854886.056981","801142800.500145","829540535.763373","860569617.074972","936117775.203388","1057996353.26549","1107527887.13963","1159940620.64571","1268204975.74654","1328951248.1161","1354744911.42443","1420117861.8322","1427374868.70319","1477187471.96485","1480399775.27698","1524863986.02698","1554114720.15297","1591751697.6261","1612350313.67558","1677452112.54801","1721700991.46912","1721128807.68997","1752344611.6415","1803268967.98605","1835056955.71673","1577955710.95098","",
"Bermuda","BMU","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1684353374.02034","1763181111.92444","1841995307.62752","1861704657.41911","2068540044.85832","2167002550.99368","2478262917.40906","2807253304.69621","2866353374.2688","2964853490.22303","3152003710.53622","3260353838.08584","3319453907.65844","3368703965.63548","3398254000.42185","3526304151.16229","3841504522.21593","4068054788.91075","4127154858.48335","4215804962.84216","4550705357.08662","4659055484.63625","4412805194.75061","4501455299.10943","4523125324.61944","4432505217.94143","4728005565.80424","4905305774.52188","5104276008.74953","5126931035.41893","5127916036.5786","4946675890.08297","4943720834.23487","5092455993.93519","5122991040.76808","5348359015.58225","5487441777.63634","5739864145.64664","5963718852.73555","6165450410.7722","6739895068.97791","7226679645.63174","7119884453.30351","7362722827.73814","7533631299.4758","7659759815.30576","8084406664.52899","8354841362.08309","8198943712.90485","7737613934.72433","7543950875.42882","7261600082.73073","6876350478.40565","6857116738.50431","6603330213.03728","6654541000","6610806937.02849","6849550930.14215","6819905984.64909","6851270046.39601","6416619976.78948","",
"Bolivia","BOL","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","4727739741.05478","4826516215.3241","5095783590.38704","5442175889.28135","5657500831.83728","5935478851.32419","6361087684.26918","6762931556.99897","7339771954.94978","7668160496.10531","8069284218.52557","8477859226.36976","9153331406.59363","9678655880.75464","9963166534.0379","10691575405.5019","11184945367.8598","11740973122.9402","11981979440.877","11997956696.7785","11833371711.2865","11865986853.023","11398616361.4361","10937870784.168","10915921103.1592","10732928005.1852","10456675901.5006","10714273722.8018","11026006026.5571","11443905993.9797","11974420975.5565","12605057145.864","12812599025.1273","13359606507.5894","13983135472.2967","14637304665.729","15275687736.6638","16032477194.0665","16838806960.5457","16910690072.3023","17334777635.2614","17626660783.8611","18064782868.0249","18554580679.5744","19328917940.8103","20183533438.7246","21151739388.7862","22117185733.2695","23477060277.6956","24265185486.7802","25266542224.0712","26581436404.4894","27943010880.0261","29842021040.5739","31471565392.2411","33000198248.3362","34407300577.8681","35850757819.7381","37364958855.9519","38193230057.6737","34820961246.5927","",
"Brazil","BRA","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","188463840495.972","204671730778.626","218180065010.015","219489145400.075","226951776343.678","232398618975.926","247969326447.313","258384038158.1","283705673897.594","310657712917.865","342966115061.323","381868493955.806","427464921480.414","487176307067.733","526900364431.798","554123457284.639","610960618080.963","641107419354.292","672969802174.375","718459600555.531","784557883806.638","751214173744.859","757449251386.938","735255988321.301","774959811690.65","835794156908.37","898395139260.805","930108487676.71","929550422584.105","958924215937.766","917211012544.471","926678369092.735","921636571083.558","967024315178.796","1023622994738.33","1066858717622.64","1090424176305.99","1127442397678.23","1131254256770.5","1136547820412.59","1186418964175.19","1202908958700.07","1239639324926.44","1253781489825.37","1325998860262.8","1368459094911.19","1422677289738.78","1509031960385.82","1585904997822.47","1583909738979.16","1703150040884.74","1770840429187.27","1804861390247.16","1859094274468.6","1868463286781.87","1802211999538.68","1743173031958.05","1766232928553.89","1797736638228.88","1823105452462.95","1749104722085.75","",
"Barbados","BRB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","2849060089.16206","2794927947.46798","2916792703.40581","3023028295.49418","3170459550.95227","3420704181.24354","3570293792.18768","3502467079.78312","3330813323.00542","3347509129.13578","3468031979.63926","3506119287.37413","3685077459.33385","3780556600.64181","3913079561.80149","4053950426.02634","3919862233.04194","3766991258.1609","3552554498.17418","3580728671.01915","3652729334.95629","3726295230.71816","3874470510.12504","4058124377.55893","4209430120.61525","4223517207.03774","4411345026.00421","4306996237.6895","4340909593.89178","4435345247.31659","4497954520.30541","4675869204.38199","4951871749.47438","5060916233.26325","5096394821.29025","4837609826.26978","4727000110.65619","4695173730.22021","4673782228.61569","4608042491.97743","4602303308.62012","4715000000","4831870642.91247","4854827376.34171","4826653203.49673","4822013073.75235","3906818634.5026","",
"Brunei Darussalam","BRN","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","6708427942.90657","6732273926.70735","8089190285.80907","8972262683.56723","9580208346.93608","11741736030.6392","10920201635.4071","8755084285.29789","9101492760.0317","9147133648.60828","9202005157.60646","9064826350.34696","8818673714.48953","8995852317.25395","9094569846.86158","8996877926.29455","9094891761.97635","9381011723.71481","9827414750.71564","9857346390.27574","10167399106.887","10622767156.9577","10928524149.2814","10767746808.7381","10707607989.7475","11034421011.7014","11348838215.8935","11660254934.8204","12111751312.501","12463471178.0442","12526326738.1135","12574867157.1504","13127874564.5426","13148167870.8878","12893130934.0876","12665627056.3659","12994802365.1317","13481499082.9269","13604563824.4265","13315326917.8511","12981331573.3766","12930394937.8137","12609990390.5992","12777527044.6874","12784201742.5315","13278836553.322","13429361905.7745","",
